ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,isa,isaLabel,parent,parentLabel,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
1,Q1058671,De Gasperi II Cabinet,1946-07-13,11,,,1947-02-02,11,,,Q3773971,Government of Italy,,,Q2649128,De Gasperi I Cabinet,Q1052739,De Gasperi III Cabinet,,,,
2,Q1052739,De Gasperi III Cabinet,1947-02-02,11,,,1947-05-31,11,,,Q3773971,Government of Italy,,,Q1058671,De Gasperi II Cabinet,Q951738,De Gasperi IV Cabinet,,,,
3,Q951738,De Gasperi IV Cabinet,1947-05-31,11,,,1948-05-23,11,,,Q3773971,Government of Italy,,,Q1052739,De Gasperi III Cabinet,Q378578,De Gasperi V Cabinet,,,,
4,Q378578,De Gasperi V Cabinet,1948-05-23,11,,,1950-01-27,11,,,Q3773971,Government of Italy,,,Q951738,De Gasperi IV Cabinet,Q1053068,De Gasperi VI Cabinet,,,,
5,Q1053068,De Gasperi VI Cabinet,1950-01-27,11,,,1951-07-26,11,,,Q3773971,Government of Italy,,,Q378578,De Gasperi V Cabinet,Q3111999,De Gasperi VII Cabinet,,,,
6,Q3111999,De Gasperi VII Cabinet,1951-07-26,11,,,1953-07-16,11,,,Q3773971,Government of Italy,,,Q1053068,De Gasperi VI Cabinet,Q3112005,De Gasperi VIII Cabinet,,,,
7,Q3112005,De Gasperi VIII Cabinet,1953-07-16,11,,,1953-08-17,11,,,Q3773971,Government of Italy,,,Q3111999,De Gasperi VII Cabinet,Q3773910,Pella Cabinet,,,,
8,Q3773910,Pella Cabinet,1953-08-17,11,,,1954-01-18,11,,,Q3773971,Government of Italy,,,Q3112005,De Gasperi VIII Cabinet,Q3773851,Fanfani I Cabinet,,,,
9,Q3773851,Fanfani I Cabinet,1954-01-18,11,,,1954-02-10,11,,,Q3773971,Government of Italy,,,Q3773910,Pella Cabinet,Q3773943,Scelba Cabinet,,,,
10,Q3773943,Scelba Cabinet,1954-02-10,11,,,1955-07-06,11,,,Q3773971,Government of Italy,,,Q3773851,Fanfani I Cabinet,Q3773947,Segni I Cabinet,,,,
11,Q3773947,Segni I Cabinet,1955-07-06,11,,,1957-05-19,11,,,Q3773971,Government of Italy,,,Q3773943,Scelba Cabinet,Q3773961,Zoli Cabinet,,,,
12,Q3773961,Zoli Cabinet,1957-05-19,11,,,1958-07-01,11,,,Q3773971,Government of Italy,,,Q3773947,Segni I Cabinet,Q3773852,Fanfani II Cabinet,,,,
13,Q3773852,Fanfani II Cabinet,1958-07-01,11,,,1959-02-15,11,,,Q3773971,Government of Italy,,,Q3773961,Zoli Cabinet,Q3773950,Segni II Cabinet,,,,
14,Q3773950,Segni II Cabinet,1959-02-15,11,,,1960-03-25,11,,,Q3773971,Government of Italy,,,Q3773852,Fanfani II Cabinet,Q3773955,Tambroni Cabinet,,,,
15,Q3773955,Tambroni Cabinet,1960-03-25,11,,,1960-07-26,11,,,Q3773971,Government of Italy,,,Q3773950,Segni II Cabinet,Q3773853,Fanfani III Cabinet,,,,
16,Q3773853,Fanfani III Cabinet,1960-07-26,11,,,1962-02-21,11,,,Q3773971,Government of Italy,,,Q3773955,Tambroni Cabinet,Q3773854,Fanfani IV Cabinet,,,,
17,Q3773854,Fanfani IV Cabinet,1962-02-21,11,,,1963-06-21,11,,,Q3773971,Government of Italy,,,Q3773853,Fanfani III Cabinet,Q3773884,Leone I Cabinet,,,,
18,Q3773884,Leone I Cabinet,1963-06-21,11,,,1963-12-04,11,,,Q3773971,Government of Italy,,,Q3773854,Fanfani IV Cabinet,Q3112298,Moro I Cabinet,,,,
19,Q3112298,Moro I Cabinet,1963-12-04,11,,,1964-07-22,11,,,Q3773971,Government of Italy,,,Q3773884,Leone I Cabinet,Q3112299,Moro II Cabinet,,,,
20,Q3112299,Moro II Cabinet,1964-07-22,11,,,1966-02-23,11,,,Q3773971,Government of Italy,,,Q3112298,Moro I Cabinet,Q3112300,Moro III Cabinet,,,,
21,Q3112300,Moro III Cabinet,1966-02-23,11,,,1968-06-24,11,,,Q3773971,Government of Italy,,,Q3112299,Moro II Cabinet,Q3112222,Leone II Cabinet,,,,
22,Q3112222,Leone II Cabinet,1968-06-24,11,,,1968-12-12,11,,,Q3773971,Government of Italy,,,Q3112300,Moro III Cabinet,Q3112432,Rumor I Cabinet,,,,
23,Q3112432,Rumor I Cabinet,1968-12-12,11,,,1969-08-05,11,,,Q3773971,Government of Italy,,,Q3112222,Leone II Cabinet,Q3112431,Rumor II Cabinet,,,,
24,Q3112431,Rumor II Cabinet,1969-08-05,11,,,1970-03-27,11,,,Q3773971,Government of Italy,,,Q3112432,Rumor I Cabinet,Q3112433,Rumor III Cabinet,,,,
25,Q3112433,Rumor III Cabinet,1970-03-27,11,,,1970-08-06,11,,,Q3773971,Government of Italy,,,Q3112431,Rumor II Cabinet,Q3773818,Colombo Cabinet,,,,
26,Q3773818,Colombo Cabinet,1970-08-06,11,,,1972-02-17,11,,,Q3773971,Government of Italy,,,Q3112433,Rumor III Cabinet,Q3111866,Andreotti I Cabinet,,,,
27,Q3111866,Andreotti I Cabinet,1972-02-17,11,,,1972-06-26,11,,,Q3773971,Government of Italy,,,Q3773818,Colombo Cabinet,Q3111863,Andreotti II Cabinet,,,,
28,Q3111863,Andreotti II Cabinet,1972-06-26,11,,,1973-07-07,11,,,Q3773971,Government of Italy,,,Q3111866,Andreotti I Cabinet,Q3112434,Rumor IV Cabinet,,,,
29,Q3112434,Rumor IV Cabinet,1973-07-07,11,,,1974-03-14,11,,,Q3773971,Government of Italy,,,Q3111863,Andreotti II Cabinet,Q3773938,Rumor V Cabinet,,,,
30,Q3773938,Rumor V Cabinet,1974-03-14,11,,,1974-11-23,11,,,Q3773971,Government of Italy,,,Q3112434,Rumor IV Cabinet,Q3773901,Moro IV Cabinet,,,,
31,Q3773901,Moro IV Cabinet,1974-11-23,11,,,1976-02-12,11,,,Q3773971,Government of Italy,,,Q3773938,Rumor V Cabinet,Q3773902,Moro V Cabinet,,,,
32,Q3773902,Moro V Cabinet,1976-02-12,11,,,1976-07-29,11,,,Q3773971,Government of Italy,,,Q3773901,Moro IV Cabinet,Q3773785,Andreotti III Cabinet,,,,
33,Q3773785,Andreotti III Cabinet,1976-07-29,11,,,1978-03-11,11,,,Q3773971,Government of Italy,,,Q3773902,Moro V Cabinet,Q3773786,Andreotti IV Cabinet,,,,
34,Q3773786,Andreotti IV Cabinet,1978-03-11,11,,,1979-03-20,11,,,Q3773971,Government of Italy,,,Q3773785,Andreotti III Cabinet,Q3773787,Andreotti V Cabinet,,,,
35,Q3773787,Andreotti V Cabinet,1979-03-20,11,,,1979-08-04,11,,,Q3773971,Government of Italy,,,Q3773786,Andreotti IV Cabinet,Q3111985,Cossiga I Cabinet,,,,
36,Q3111985,Cossiga I Cabinet,1979-08-04,11,,,1980-04-04,11,,,Q3773971,Government of Italy,,,Q3773787,Andreotti V Cabinet,Q3773821,Cossiga II Cabinet,,,,
37,Q3773821,Cossiga II Cabinet,1980-04-04,11,,,1980-10-18,11,,,Q3773971,Government of Italy,,,Q3111985,Cossiga I Cabinet,Q3773858,Forlani Cabinet,,,,
38,Q3773858,Forlani Cabinet,1980-10-18,11,,,1981-06-28,11,,,Q3773971,Government of Italy,,,Q3773821,Cossiga II Cabinet,Q3112479,Spadolini I Cabinet,,,,
39,Q3112479,Spadolini I Cabinet,1981-06-28,11,,,1982-08-23,11,,,Q3773971,Government of Italy,,,Q3773858,Forlani Cabinet,Q3112480,Spadolini II Cabinet,,,,
40,Q3112480,Spadolini II Cabinet,1982-08-23,11,,,1982-12-01,11,,,Q3773971,Government of Italy,,,Q3112479,Spadolini I Cabinet,Q3112040,Fanfani V Cabinet,,,,
41,Q3112040,Fanfani V Cabinet,1982-12-01,11,,,1983-08-04,11,,,Q3773971,Government of Italy,,,Q3112480,Spadolini II Cabinet,Q962463,Craxi I Cabinet,,,,
42,Q962463,Craxi I Cabinet,1983-08-04,11,,,1986-08-01,11,,,Q3773971,Government of Italy,,,Q3112040,Fanfani V Cabinet,Q3111987,Craxi II Cabinet,,,,
43,Q3111987,Craxi II Cabinet,1986-08-01,11,,,1987-04-17,11,,,Q3773971,Government of Italy,,,Q962463,Craxi I Cabinet,Q3112042,Fanfani VI Cabinet,,,,
44,Q3112042,Fanfani VI Cabinet,1987-04-17,11,,,1987-07-28,11,,,Q3773971,Government of Italy,,,Q3111987,Craxi II Cabinet,Q787556,Goria Cabinet,,,,
45,Q787556,Goria Cabinet,1987-07-28,11,,,1988-04-13,11,,,Q3773971,Government of Italy,,,Q3112042,Fanfani VI Cabinet,Q3111997,De Mita Cabinet,,,,
46,Q3111997,De Mita Cabinet,1988-04-13,11,,,1989-07-22,11,,,Q3773971,Government of Italy,,,Q787556,Goria Cabinet,Q3111865,Andreotti VI Cabinet,,,,
47,Q3111865,Andreotti VI Cabinet,1989-07-22,11,,,1991-04-12,11,,,Q3773971,Government of Italy,,,Q3111997,De Mita Cabinet,Q3111867,Andreotti VII Cabinet,,,,
48,Q3111867,Andreotti VII Cabinet,1991-04-12,11,,,1992-06-28,11,,,Q3773971,Government of Italy,,,Q3111865,Andreotti VI Cabinet,Q1058637,Amato I Cabinet,,,,
49,Q1058637,Amato I Cabinet,1992-06-28,11,,,1993-04-28,11,,,Q3773971,Government of Italy,,,Q3111867,Andreotti VII Cabinet,Q2237427,Ciampi Cabinet,,,,
50,Q2237427,Ciampi Cabinet,1993-04-28,11,,,1994-05-10,11,,,Q3773971,Government of Italy,,,Q1058637,Amato I Cabinet,Q2047979,Berlusconi I Cabinet,,,,
51,Q2047979,Berlusconi I Cabinet,1994-05-10,11,,,1995-01-17,11,,,Q3773971,Government of Italy,,,Q2237427,Ciampi Cabinet,Q2294580,Dini Cabinet,,,,
52,Q2294580,Dini Cabinet,1995-01-17,11,,,1996-05-17,11,,,Q3773971,Government of Italy,,,Q2047979,Berlusconi I Cabinet,Q1024923,Prodi I Cabinet,,,,
52,Q2294580,Dini Cabinet,1995-01-17,11,,,1996-05-17,11,,,Q3773998,technocratic government,,,Q2047979,Berlusconi I Cabinet,Q1024923,Prodi I Cabinet,,,,
53,Q1024923,Prodi I Cabinet,1996-05-17,11,,,1998-10-21,11,,,Q3773971,Government of Italy,,,Q2294580,Dini Cabinet,Q1869728,D'Alema I Cabinet,,,,
54,Q1869728,D'Alema I Cabinet,1998-10-21,11,,,1999-12-22,11,,,Q3773971,Government of Italy,,,Q1024923,Prodi I Cabinet,Q4218056,D'Alema II Cabinet,,,,
55,Q4218056,D'Alema II Cabinet,1999-12-22,11,1999-01-01,9,2000-04-25,11,2000-01-01,9,Q3773971,Government of Italy,,,Q1869728,D'Alema I Cabinet,Q2086741,Amato II Cabinet,,,,
56,Q2086741,Amato II Cabinet,2000-04-25,11,,,2001-06-11,11,,,Q3773971,Government of Italy,,,Q4218056,D'Alema II Cabinet,Q2123870,Berlusconi II Cabinet,,,,
57,Q2123870,Berlusconi II Cabinet,2001-06-11,11,,,2005-04-23,11,,,Q3773971,Government of Italy,,,Q2086741,Amato II Cabinet,Q2325153,Berlusconi III Cabinet,,,,
58,Q2325153,Berlusconi III Cabinet,2005-04-23,11,,,2006-05-17,11,,,Q3773971,Government of Italy,,,Q2123870,Berlusconi II Cabinet,Q1720224,Prodi II Cabinet,,,,
59,Q1720224,Prodi II Cabinet,2006-05-17,11,2006-05-17,11,2008-05-07,11,2008-05-08,11,Q3773971,Government of Italy,,,Q2325153,Berlusconi III Cabinet,Q715959,Berlusconi IV Cabinet,,,,
60,Q715959,Berlusconi IV Cabinet,2008-05-07,11,,,2011-11-16,11,,,Q3773971,Government of Italy,,,Q1720224,Prodi II Cabinet,Q715614,Monti Cabinet,,,,
61,Q715614,Monti Cabinet,2011-11-16,11,,,2013-04-28,11,,,Q3773971,Government of Italy,,,Q715959,Berlusconi IV Cabinet,Q12080459,Letta Cabinet,,,,
61,Q715614,Monti Cabinet,2011-11-16,11,,,2013-04-28,11,,,Q3773998,technocratic government,,,Q715959,Berlusconi IV Cabinet,Q12080459,Letta Cabinet,,,,
62,Q12080459,Letta Cabinet,2013-04-28,11,,,2014-02-22,11,,,Q3773971,Government of Italy,,,Q715614,Monti Cabinet,Q15772498,Renzi Cabinet,,,,
63,Q15772498,Renzi Cabinet,2014-02-21,11,,,2016-12-12,11,,,Q3773971,Government of Italy,,,Q12080459,Letta Cabinet,Q27998924,Gentiloni Cabinet,,,,
63,Q15772498,Renzi Cabinet,2014-02-22,11,,,2016-12-12,11,,,Q3773971,Government of Italy,,,Q12080459,Letta Cabinet,Q27998924,Gentiloni Cabinet,,,,
64,Q27998924,Gentiloni Cabinet,2016-12-12,11,,,2018-06-01,11,,,Q3773971,Government of Italy,,,Q15772498,Renzi Cabinet,Q54557459,Conte I Cabinet,,,,
65,Q54557459,Conte I Cabinet,2018-06-01,11,,,2019-09-05,11,,,Q3773971,Government of Italy,,,Q27998924,Gentiloni Cabinet,Q67123745,Conte II Cabinet,,,,
66,Q67123745,Conte II Cabinet,2019-09-05,11,,,2021-02-13,11,,,Q3773971,Government of Italy,,,Q54557459,Conte I Cabinet,Q105460407,Draghi Cabinet,,,,
67,Q105460407,Draghi Cabinet,2021-02-13,11,,,,,,,Q3773971,Government of Italy,,,Q67123745,Conte II Cabinet,,,,,,
